livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,totalRent
2,51.0,2,2.0,2.0,1954.0,8,1,1550.0
6,131.2,4,4.0,9.0,2019.0,8,0,1500.0
4,84.88,4,4.0,3.0,1973.0,5,0,903.04
3,63.0,1,1.5,5.0,1994.0,12,0,650.0
2,59.75,2,2.0,1.0,1920.0,4,0,415.0
3,71.0,3,3.0,9.0,2016.0,7,0,925.0
4,90.0,3,3.0,4.0,1990.0,14,0,685.0
2,59.05,3,3.0,3.0,1971.0,4,1,577.16
2,53.6,2,2.0,3.0,1974.0,4,0,425.0
3,74.0,2,2.5,9.0,2018.0,12,1,1850.0
2,46.51,2,2.0,5.0,1994.0,1,0,400.0
1,39.1,1,1.0,4.0,1984.0,10,1,459.12
5,116.0,4,4.0,9.0,2019.0,10,0,1516.0
3,80.0,3,3.5,9.0,2016.0,1,0,1110.0
3,76.61,3,3.0,3.0,1973.0,8,1,630.0
3,74.8,2,2.0,9.0,2018.0,7,1,984.0
4,81.23,3,3.0,2.0,1962.0,8,1,779.0
5,119.0,3,3.5,1.0,1950.0,8,0,750.0
3,73.0,2,2.0,4.0,1984.0,8,1,730.0
2,45.0,2,2.0,2.0,1958.0,12,0,1490.0
2,56.91,2,2.0,5.0,1995.0,4,1,575.0
4,86.0,3,3.0,8.0,2013.0,14,0,1130.0
3,79.72,3,3.0,4.0,1984.0,12,0,875.0
7,230.0,5,7.0,3.0,1973.0,11,0,2100.0
4,87.34,3,3.0,9.0,2020.0,14,0,1250.0
2,60.82,2,2.0,5.0,1994.0,2,0,515.0
3,77.0,3,3.0,1.0,1900.0,4,0,580.0
3,75.0,3,3.0,1.0,1900.0,1,1,551.25
2,49.1,2,2.0,5.0,1996.0,4,0,355.5
4,92.0,3,3.0,3.0,1979.0,14,1,1310.0
6,142.0,4,4.0,1.0,1876.0,5,1,2264.0
6,145.0,5,5.0,3.0,1980.0,8,1,1325.0
2,56.0,2,2.5,9.0,2018.0,8,0,730.0
5,118.0,4,4.0,3.0,1976.0,11,0,900.0
3,75.0,3,3.0,3.0,1971.0,8,0,700.0
2,41.0,2,2.0,5.0,1996.0,4,1,463.0
3,74.7,3,3.0,5.0,1996.0,3,0,565.5
3,65.0,2,2.0,9.0,2016.0,8,1,1206.0
5,103.12,4,4.0,9.0,2019.0,12,0,1185.0
4,87.0,3,3.5,2.0,1960.0,8,1,654.0
3,68.69,3,3.0,4.0,1982.0,4,1,440.0
2,50.0,1,1.5,1.0,1900.0,4,0,400.0
3,65.85,3,3.0,2.0,1960.0,10,0,645.0
3,69.73,4,4.0,2.0,1960.0,4,1,440.0
3,65.89,2,2.0,1.0,1900.0,4,0,500.0
7,171.0,5,5.0,1.0,1906.0,13,1,2825.0
3,67.72,3,3.0,2.0,1954.0,14,0,547.0
3,67.79,2,2.5,2.0,1956.0,8,1,592.0
2,60.1,3,3.0,3.0,1978.0,3,0,442.72
3,80.0,3,3.0,1.0,1936.0,1,0,383.0
3,64.1,4,4.0,4.0,1981.0,1,0,552.0
2,60.0,1,1.5,3.0,1974.0,14,0,500.0
2,53.2,2,2.0,9.0,2019.0,14,1,805.0
5,102.0,3,3.0,5.0,1995.0,8,0,800.0
2,47.2,2,2.0,1.0,1939.0,8,0,555.08
2,57.0,3,3.0,2.0,1961.0,8,0,500.0
3,67.83,2,2.0,1.0,1920.0,4,1,650.0
2,59.2,2,2.0,3.0,1976.0,2,1,446.0
4,83.0,3,3.0,9.0,2019.0,15,1,1794.82
3,63.0,3,3.0,5.0,1997.0,8,0,690.0
2,54.19,2,2.0,5.0,1993.0,1,0,457.0
1,35.0,1,1.0,4.0,1990.0,12,0,320.0
4,84.0,3,3.0,3.0,1980.0,2,0,521.5
5,110.0,4,4.0,8.0,2014.0,9,1,1669.0
1,16.65,1,1.0,1.0,1936.0,1,1,190.0
2,50.0,2,2.0,5.0,2000.0,4,1,540.0
4,98.0,3,3.0,9.0,2019.0,13,1,1596.0
5,117.9,4,4.0,2.0,1956.0,8,1,1220.0
2,48.33,1,1.0,1.0,1938.0,9,1,530.0
3,80.0,4,4.0,1.0,1895.0,15,1,1610.0
2,54.0,2,2.0,2.0,1959.0,13,1,740.0
3,63.0,3,3.0,1.0,1930.0,4,1,500.0
2,60.0,2,2.0,4.0,1990.0,7,0,570.0
3,75.96,2,2.0,3.0,1975.0,13,0,985.0
3,64.0,2,2.0,3.0,1973.0,8,1,569.0
3,75.0,2,2.0,5.0,1998.0,8,1,680.0
2,52.0,2,2.0,1.0,1904.0,4,0,325.0
1,23.0,1,1.0,1.0,1907.0,4,1,414.99
3,64.0,3,3.0,1.0,1950.0,1,0,499.0
3,67.09,3,3.0,2.0,1957.0,8,1,735.0
3,64.32,2,2.0,1.0,1888.0,4,1,459.0
2,56.14,2,2.0,4.0,1989.0,3,0,519.0
2,48.07,2,2.0,5.0,1999.0,4,0,470.0
3,63.28,2,2.0,8.0,2015.0,8,1,1530.0
6,124.0,5,5.0,6.0,2004.0,12,0,1130.0
3,65.32,2,2.0,2.0,1953.0,8,0,490.0
3,66.0,3,3.0,5.0,1992.0,4,1,449.0
6,143.0,4,4.0,8.0,2014.0,8,1,1876.0
4,86.0,2,2.0,1.0,1886.0,14,0,800.0
6,132.0,4,4.0,9.0,2016.0,8,0,1600.0
2,43.58,1,1.0,1.0,1910.0,15,1,519.0
3,65.1,3,3.0,5.0,1994.0,2,0,677.14
1,38.0,1,1.5,4.0,1983.0,14,1,610.0
3,63.0,2,2.0,9.0,2016.0,8,1,1040.0
2,56.0,3,3.0,1.0,1920.0,8,1,450.0
5,108.0,4,4.5,1.0,1945.0,7,0,620.0
4,100.0,2,2.0,1.0,1950.0,12,1,1715.0
3,65.0,2,2.0,2.0,1962.0,13,0,650.0
4,83.0,3,3.0,1.0,1905.0,9,0,560.0
6,125.0,3,3.0,1.0,1720.0,11,0,1200.0
2,53.44,2,2.0,5.0,1994.0,1,1,490.0
3,77.05,3,3.5,3.0,1972.0,8,0,491.27
3,72.13,3,3.0,2.0,1963.0,1,0,530.0
6,129.0,4,4.0,9.0,2018.0,8,1,1771.0
6,122.0,4,4.5,5.0,1995.0,8,1,967.0
1,37.0,1,1.0,5.0,1996.0,4,1,459.0
2,50.85,1,1.0,5.0,1991.0,8,1,458.0
5,120.5,4,4.5,9.0,2018.0,4,1,1199.0
2,51.0,2,2.0,2.0,1960.0,12,0,480.0
3,68.11,2,2.0,9.0,2016.0,12,1,1225.0
4,100.57,4,4.0,9.0,2018.0,7,1,1750.0
1,36.0,1,1.0,3.0,1974.0,11,0,410.0
2,43.69,1,1.5,2.0,1966.0,8,1,346.25
3,74.0,3,3.0,3.0,1972.0,8,1,632.8
2,41.42,2,2.0,2.0,1953.0,7,0,378.0
2,47.43,1,1.0,1.0,1923.0,3,0,524.0
3,64.01,2,2.0,1.0,1902.0,10,1,928.0
1,35.51,1,1.0,8.0,2014.0,7,1,510.0
3,73.0,3,3.0,5.0,1992.0,8,1,670.0
3,80.8,3,3.0,5.0,1996.0,4,1,801.0
3,61.81,3,3.5,2.0,1960.0,8,0,611.05
2,52.8,2,2.0,1.0,1910.0,4,1,343.2
2,47.64,2,2.0,9.0,2018.0,4,1,620.42
3,75.0,2,2.0,5.0,1993.0,8,0,748.0
4,87.0,3,3.0,5.0,1991.0,12,0,840.0
5,109.98,4,4.0,1.0,1927.0,8,1,790.0
4,98.0,3,3.0,5.0,2000.0,14,0,1650.0
3,79.81,3,3.0,5.0,1994.0,4,0,760.0
4,100.78,3,3.0,1.0,1882.0,4,0,700.0
4,92.92,3,3.0,9.0,2016.0,7,0,994.0
2,55.0,2,2.0,1.0,1926.0,15,1,690.0
2,56.47,2,2.0,3.0,1979.0,10,0,496.0
2,57.0,2,2.0,5.0,1995.0,3,0,470.0
3,73.0,3,3.0,3.0,1973.0,13,0,650.0
3,64.0,1,1.0,7.0,2010.0,2,1,1127.0
2,47.1,2,2.0,3.0,1973.0,4,1,355.0
3,62.0,3,3.0,7.0,2010.0,14,1,925.0
4,100.0,4,4.0,3.0,1978.0,13,0,1490.0
3,76.0,3,3.0,4.0,1986.0,8,1,967.08
2,57.89,3,3.0,2.0,1968.0,1,1,463.0
2,41.16,1,1.0,5.0,1994.0,3,1,458.0
3,70.29,3,3.0,4.0,1986.0,1,0,442.83
2,59.5,3,3.0,2.0,1962.0,1,0,432.0
1,34.0,1,1.0,3.0,1972.0,14,1,695.0
5,117.49,4,4.0,4.0,1990.0,15,1,1652.0
3,72.17,2,2.5,5.0,1993.0,4,0,550.0
2,60.02,2,2.0,9.0,2019.0,14,0,1050.0
1,24.07,1,1.0,5.0,1997.0,4,1,335.0
7,162.0,4,4.0,8.0,2014.0,12,1,3320.0
3,70.0,3,3.0,2.0,1960.0,2,0,440.0
4,94.0,2,2.0,8.0,2012.0,4,1,250.0
4,87.76,3,3.0,9.0,2018.0,11,1,1411.0
1,28.77,1,1.0,8.0,2014.0,11,1,490.0
2,42.0,2,2.0,7.0,2010.0,3,0,545.0
3,62.0,2,2.0,1.0,1900.0,14,0,590.0
3,69.0,2,2.0,1.0,1910.0,4,0,549.0
3,79.0,3,3.0,2.0,1954.0,2,0,570.0
2,60.0,2,2.0,3.0,1977.0,13,0,560.0
4,100.0,4,4.0,4.0,1990.0,8,0,1280.0
2,47.0,2,2.5,2.0,1954.0,8,0,500.0
2,48.79,2,2.0,2.0,1965.0,5,0,354.0
1,30.0,1,1.5,9.0,2016.0,10,0,780.0
4,100.0,4,4.0,2.0,1960.0,13,0,1160.0
1,37.37,1,1.0,4.0,1988.0,13,0,410.0
2,55.0,2,2.0,1.0,1850.0,13,1,1370.0
2,48.2,2,2.0,2.0,1961.0,13,0,734.3
5,108.0,5,5.0,3.0,1976.0,16,1,1260.0
3,68.26,2,2.0,1.0,1900.0,4,1,730.0
4,90.0,4,4.0,2.0,1956.0,7,0,820.0
3,67.0,3,3.0,1.0,1930.0,8,1,527.6
3,66.0,2,2.0,5.0,1995.0,16,1,984.0
1,40.0,2,2.0,1.0,1905.0,12,1,1390.0
2,58.9,3,3.0,1.0,1941.0,7,0,500.0
5,101.0,3,3.0,4.0,1986.0,13,1,1690.0
2,60.0,3,3.0,2.0,1955.0,11,0,400.0
3,78.0,3,3.0,1.0,1912.0,4,1,540.0
3,70.28,3,3.0,6.0,2004.0,7,1,768.5
7,315.0,5,7.0,1.0,1900.0,13,1,6700.0
2,55.0,2,2.0,1.0,1900.0,1,0,560.0
5,112.0,3,3.0,3.0,1972.0,8,1,1300.0
3,77.54,3,3.0,5.0,1996.0,4,1,820.0
3,75.2,2,2.0,1.0,1905.0,4,1,646.0
2,59.0,2,2.0,1.0,1911.0,4,0,400.0
3,63.69,4,4.0,3.0,1971.0,1,0,632.0
3,79.0,3,3.0,1.0,1905.0,2,0,671.5
2,55.95,2,2.0,3.0,1976.0,2,0,397.24
3,66.56,3,3.0,3.0,1979.0,4,0,481.14
3,62.0,2,2.0,4.0,1987.0,9,0,560.0
2,50.0,2,2.0,3.0,1972.0,13,0,820.0
3,70.28,3,3.0,4.0,1989.0,15,1,722.04
2,49.0,2,2.0,2.0,1968.0,8,1,600.0
2,50.45,2,2.5,2.0,1955.0,7,0,448.0
3,62.93,2,2.0,1.0,1930.0,15,1,750.0
2,47.2,2,2.0,1.0,1920.0,3,0,389.04
4,82.25,3,3.0,1.0,1950.0,5,0,699.13
5,107.0,3,3.0,8.0,2011.0,8,1,1590.0
3,66.0,1,1.0,5.0,1993.0,15,1,1480.0
3,67.37,3,3.0,2.0,1963.0,8,1,761.65
3,65.15,4,4.0,2.0,1957.0,13,1,807.44
4,82.16,4,4.0,5.0,1995.0,5,0,559.0
3,70.0,3,3.0,2.0,1965.0,7,0,600.0
3,70.5,2,2.0,5.0,1992.0,4,1,550.0
2,45.0,2,2.0,4.0,1983.0,4,1,385.0
3,61.88,3,3.0,2.0,1967.0,4,0,525.99
2,60.0,2,2.0,1.0,1900.0,3,0,500.0
2,50.35,2,2.5,4.0,1984.0,8,1,578.0
5,101.0,3,3.5,5.0,1997.0,2,1,900.0
3,70.4,3,3.0,3.0,1979.0,4,0,459.71
4,81.61,3,3.0,1.0,1910.0,5,1,1023.02
3,62.5,2,2.0,1.0,1900.0,4,1,387.0
3,78.41,3,3.0,3.0,1972.0,11,1,1082.68
3,80.8,4,4.0,2.0,1959.0,7,0,605.0
2,51.0,2,2.0,1.0,1938.0,8,0,600.0
3,64.0,2,2.0,2.0,1958.0,8,1,890.0
2,60.0,2,2.0,2.0,1963.0,8,1,457.0
2,44.52,2,2.0,8.0,2015.0,4,1,605.0
3,65.0,2,2.0,2.0,1969.0,12,0,790.0
2,47.81,2,2.0,4.0,1982.0,4,0,491.0
5,105.95,4,4.0,9.0,2018.0,13,0,1371.0
3,65.82,3,3.0,2.0,1963.0,8,1,597.0
4,98.18,4,4.0,9.0,2018.0,4,1,1340.53
3,68.0,2,2.0,4.0,1986.0,8,0,495.0
4,91.08,2,2.0,1.0,1897.0,4,1,760.0
3,77.36,3,3.0,2.0,1954.0,8,0,555.0
4,92.0,4,4.0,2.0,1970.0,8,1,1160.0
3,65.0,2,2.0,1.0,1900.0,4,0,485.0
1,33.15,1,1.0,4.0,1983.0,2,1,299.0
5,120.0,5,6.0,4.0,1983.0,8,1,1400.0
3,63.0,2,2.0,5.0,1997.0,4,0,410.0
3,64.22,2,2.0,9.0,2019.0,14,0,940.0
2,57.26,2,2.0,1.0,1900.0,2,1,644.0
2,55.24,2,2.0,2.0,1952.0,8,1,494.0
3,72.89,3,3.0,1.0,1859.0,4,0,562.0
3,64.49,2,2.0,1.0,1910.0,4,1,404.0
3,70.2,2,2.0,1.0,1935.0,6,0,536.48
5,116.76,3,3.0,9.0,2018.0,14,1,1532.0
4,94.5,3,3.0,8.0,2014.0,15,1,1658.25
3,67.06,3,3.0,1.0,1930.0,4,1,670.0
2,41.0,2,2.0,5.0,1992.0,14,1,600.0
3,64.0,2,2.0,3.0,1971.0,15,1,679.0
2,51.0,2,2.0,5.0,1997.0,9,1,550.0
3,62.0,2,2.5,3.0,1971.0,8,1,681.0
2,55.9,2,2.0,5.0,2000.0,1,0,410.0
6,126.7,5,5.0,4.0,1985.0,4,0,715.0
4,99.0,3,3.5,8.0,2012.0,9,1,1285.0
4,100.0,4,4.0,6.0,2001.0,13,0,1675.0
3,72.3,2,2.0,5.0,1997.0,4,0,700.0
1,33.0,1,1.0,3.0,1976.0,14,1,645.0
4,95.0,3,3.5,1.0,1926.0,14,1,2050.0
2,51.6,2,2.0,1.0,1912.0,1,0,370.0
7,160.0,3,3.0,4.0,1984.0,8,1,1765.0
3,63.61,2,2.0,9.0,2019.0,16,1,1106.81
3,69.56,3,3.0,3.0,1978.0,3,0,535.61
4,100.0,4,4.0,1.0,1910.0,2,0,760.0
2,41.0,2,2.0,3.0,1971.0,8,1,529.0
2,50.0,2,2.0,2.0,1970.0,16,1,835.0
2,48.93,2,2.0,4.0,1982.0,1,0,348.0
3,62.58,3,3.0,5.0,1994.0,1,0,495.0
2,60.0,3,3.0,2.0,1953.0,12,1,1095.0
3,80.0,3,3.0,4.0,1983.0,13,0,640.0
1,36.54,1,1.0,3.0,1980.0,15,1,950.0
1,30.0,1,1.0,6.0,2003.0,12,0,450.0
3,70.1,3,3.0,3.0,1971.0,7,0,820.0
3,61.83,3,3.0,4.0,1990.0,3,0,444.2
3,73.0,3,3.0,2.0,1963.0,12,0,960.0
4,89.68,3,3.0,9.0,2018.0,13,0,945.0
2,50.0,2,2.0,8.0,2014.0,7,0,668.0
2,58.0,2,2.0,2.0,1958.0,14,1,1650.0
2,44.76,2,2.0,4.0,1983.0,8,1,564.0
7,155.0,3,3.0,1.0,1890.0,1,1,1472.0
2,50.74,2,2.0,3.0,1976.0,1,0,432.0
3,64.0,2,2.0,1.0,1920.0,13,1,1050.0
5,106.0,3,3.0,5.0,1998.0,7,0,1332.0
2,56.58,3,3.0,3.0,1979.0,1,0,417.24
4,81.0,3,3.0,3.0,1971.0,8,1,630.0
3,71.04,3,3.0,2.0,1957.0,8,0,654.21
2,59.0,2,2.0,1.0,1925.0,4,1,450.0
4,90.0,3,3.0,9.0,2018.0,12,0,1130.0
2,54.68,2,2.0,1.0,1938.0,8,1,538.0
4,90.0,4,4.0,3.0,1976.0,8,1,620.0
1,27.0,1,1.5,2.0,1955.0,3,0,370.0
1,32.59,1,1.5,4.0,1988.0,4,0,240.0
3,80.0,2,2.0,9.0,2019.0,13,0,980.0
5,111.3,3,3.0,9.0,2019.0,4,1,1383.0
4,98.0,4,4.0,1.0,1940.0,10,0,800.0
1,34.4,1,1.0,1.0,1899.0,4,1,261.0
2,56.5,2,2.0,2.0,1966.0,16,1,730.0
3,62.0,3,3.0,1.0,1950.0,8,1,510.0
3,62.43,3,3.0,2.0,1964.0,4,0,435.0
3,74.78,4,4.0,3.0,1971.0,4,1,647.0
3,76.49,3,3.0,2.0,1958.0,14,1,2320.0
2,56.25,3,3.0,4.0,1983.0,1,0,423.0
3,65.0,2,2.0,1.0,1903.0,4,1,399.5
3,63.5,3,3.0,1.0,1905.0,2,1,150.0
4,96.37,3,3.0,8.0,2015.0,9,1,1376.13
2,56.03,2,2.0,5.0,1991.0,3,0,438.15
4,98.94,4,4.0,9.0,2018.0,4,1,1355.88
4,81.87,3,3.0,4.0,1989.0,8,0,779.17
4,87.0,3,3.0,9.0,2016.0,14,1,2200.0
3,78.0,2,2.5,7.0,2009.0,12,0,1245.0
2,55.0,2,2.0,1.0,1900.0,12,1,870.0
5,105.0,4,4.0,9.0,2020.0,14,0,1650.0
6,133.99,4,4.0,9.0,2019.0,8,1,1610.0
6,132.0,5,5.0,8.0,2013.0,1,0,1715.0
3,72.41,2,2.0,4.0,1982.0,4,1,435.0
2,47.0,2,2.0,4.0,1984.0,8,1,410.0
3,70.2,2,2.5,2.0,1970.0,10,0,763.7
3,67.9,3,3.0,2.0,1960.0,8,1,450.0
2,60.0,2,2.0,1.0,1949.0,14,1,930.0
5,108.24,4,4.0,5.0,1996.0,8,0,985.0
3,62.56,2,2.0,3.0,1973.0,15,1,837.98
6,145.0,4,4.0,8.0,2014.0,13,0,1290.0
3,74.14,3,3.0,1.0,1940.0,8,1,673.0
2,51.73,2,2.5,1.0,1941.0,8,1,562.0
2,52.0,2,2.0,5.0,1996.0,4,1,705.8
4,83.6,3,3.0,9.0,2019.0,8,1,1040.0
2,57.8,2,2.0,2.0,1969.0,4,0,412.0
2,51.0,2,2.0,8.0,2013.0,15,1,1369.0
5,113.5,3,3.0,9.0,2019.0,14,1,1657.0
4,95.0,2,2.5,2.0,1964.0,13,0,910.0
3,63.94,2,2.0,2.0,1952.0,8,1,590.0
3,75.64,4,4.0,4.0,1990.0,7,0,574.87
3,70.0,2,2.0,2.0,1960.0,8,1,655.0
3,70.0,3,3.0,2.0,1965.0,8,0,653.5
1,33.0,1,1.0,2.0,1968.0,8,0,545.0
3,73.0,2,2.0,4.0,1990.0,14,1,1650.0
3,75.69,3,3.0,3.0,1973.0,9,1,742.0
4,86.0,3,3.0,1.0,1885.0,4,0,480.0
2,56.62,3,3.0,2.0,1955.0,13,1,711.58
4,89.95,3,3.0,5.0,1996.0,5,0,899.35
4,98.12,3,3.0,1.0,1886.0,1,1,937.78
4,91.0,3,3.0,9.0,2019.0,12,0,1210.0
3,74.63,2,2.0,1.0,1907.0,4,1,598.0
3,66.97,2,2.0,9.0,2016.0,7,1,950.0
2,44.43,1,1.0,5.0,1995.0,7,0,660.0
1,35.61,1,1.0,1.0,1900.0,1,1,313.37
1,35.0,1,1.0,3.0,1976.0,10,0,719.0
4,90.0,4,4.0,4.0,1988.0,4,0,890.0
3,73.33,3,3.0,9.0,2018.0,4,1,1463.0
2,50.0,2,2.0,1.0,1939.0,7,1,590.0
5,110.0,4,4.0,1.0,1930.0,6,0,710.0
4,83.5,3,3.0,8.0,2014.0,14,0,1120.0
1,28.0,1,1.0,2.0,1962.0,8,1,270.0
5,109.0,4,4.0,2.0,1964.0,9,1,1164.0
2,58.9,2,2.0,5.0,1997.0,4,1,493.0
7,151.0,3,3.0,3.0,1972.0,8,1,1271.0
3,72.0,3,3.0,1.0,1889.0,14,1,800.0
1,21.0,1,1.0,5.0,1998.0,14,0,500.0
4,87.9,3,3.0,8.0,2014.0,16,1,1125.34
2,44.5,2,2.0,2.0,1955.0,12,0,404.9
3,75.72,2,2.0,1.0,1938.0,10,0,675.0
4,97.0,2,2.0,1.0,1918.0,15,1,1370.0
2,54.15,2,2.0,2.0,1959.0,4,1,524.0
3,79.19,3,3.0,1.0,1909.0,8,1,644.84
4,87.2,3,3.0,9.0,2018.0,4,1,1179.92
1,27.05,1,1.0,3.0,1977.0,5,0,334.55
3,77.0,3,3.0,2.0,1960.0,1,0,580.0
1,32.61,1,1.0,4.0,1981.0,4,1,290.0
3,61.08,3,3.0,2.0,1964.0,8,1,762.0
3,70.02,3,3.0,1.0,1933.0,4,1,614.0
2,41.81,1,1.0,5.0,1998.0,15,1,574.42
1,35.59,1,1.0,3.0,1977.0,8,0,260.0
6,138.0,5,5.0,4.0,1984.0,8,0,1249.0
4,82.0,3,3.0,5.0,1996.0,8,1,950.0
4,92.1,4,4.0,2.0,1964.0,14,1,951.95
3,65.0,2,2.0,6.0,2002.0,14,1,930.0
4,90.0,3,3.0,2.0,1952.0,13,1,1620.0
4,93.97,3,3.0,9.0,2020.0,11,1,1345.0
4,100.0,4,4.0,1.0,1927.0,4,1,653.0
3,75.0,3,3.0,2.0,1959.0,11,0,780.0
2,51.71,2,2.0,1.0,1910.0,2,0,375.0
4,89.0,2,2.0,2.0,1963.0,12,1,995.5
4,88.0,3,3.5,4.0,1981.0,8,1,810.0
2,58.8,3,3.0,2.0,1961.0,4,0,434.06
1,37.01,2,2.0,1.0,1950.0,8,1,276.0
6,148.0,4,4.0,3.0,1975.0,8,0,1370.0
2,53.0,2,2.0,1.0,1929.0,1,0,348.0
6,130.0,4,4.0,4.0,1981.0,10,0,1550.0
4,93.0,3,3.0,5.0,1996.0,15,1,1430.0
2,47.72,2,2.0,4.0,1986.0,4,1,343.6
1,34.7,1,1.0,5.0,1995.0,2,0,308.35
6,130.0,5,5.0,4.0,1990.0,13,0,1940.0
7,175.0,4,4.0,9.0,2018.0,4,1,1950.0
2,48.0,2,2.0,4.0,1986.0,13,1,1490.0
3,66.01,2,2.0,9.0,2019.0,8,0,511.58
1,35.5,1,1.0,5.0,1997.0,4,1,390.0
5,105.0,2,2.0,6.0,2003.0,11,0,1340.0
3,61.0,2,2.0,1.0,1905.0,4,1,660.0
1,10.0,1,1.0,1.0,1900.0,12,1,350.0
2,56.66,3,3.0,2.0,1959.0,8,1,643.0
3,80.0,3,3.5,2.0,1953.0,8,1,980.0
2,55.0,2,2.0,4.0,1989.0,4,0,350.0
3,63.1,3,3.0,4.0,1988.0,4,0,423.0
3,64.5,2,2.0,6.0,2004.0,5,0,675.0
2,51.0,2,2.0,1.0,1910.0,4,1,381.0
4,90.0,5,5.0,5.0,1998.0,6,0,570.0
6,130.45,4,4.0,9.0,2019.0,4,1,1631.0
3,64.17,2,2.0,3.0,1971.0,7,1,637.02
3,66.0,2,2.0,1.0,1900.0,4,0,430.0
3,80.0,3,3.5,9.0,2019.0,7,0,1130.0
3,65.0,2,2.0,1.0,1905.0,4,1,670.0
3,77.91,3,3.0,1.0,1911.0,4,1,475.0
1,39.0,2,2.0,2.0,1954.0,4,0,350.0
2,51.0,2,2.0,1.0,1929.0,7,0,420.0
3,65.82,3,3.0,3.0,1974.0,1,1,527.22
3,64.0,2,2.0,9.0,2019.0,5,0,656.0
2,59.2,3,3.0,2.0,1962.0,3,0,497.2
2,60.96,3,3.0,3.0,1980.0,2,1,562.5
6,130.0,4,4.0,4.0,1990.0,11,1,2000.0
1,30.14,1,1.0,4.0,1982.0,5,0,260.0
3,75.52,3,3.0,5.0,1996.0,8,0,601.5
3,68.0,3,3.0,1.0,1920.0,3,0,558.0
3,69.95,2,2.0,9.0,2019.0,15,1,1664.81
6,132.0,4,4.0,2.0,1958.0,8,1,1860.0
2,41.0,2,2.0,1.0,1900.0,1,1,380.0
5,115.0,4,4.0,4.0,1982.0,8,0,927.0
2,51.43,2,2.0,2.0,1952.0,14,0,499.16
2,53.0,2,2.0,1.0,1934.0,16,1,1050.0
5,109.2,3,3.5,3.0,1972.0,13,0,1000.0
4,85.0,3,3.5,2.0,1963.0,14,0,1060.0
2,52.47,2,2.0,1.0,1920.0,1,1,454.0
3,62.09,2,2.5,2.0,1968.0,8,0,489.65
2,44.58,2,2.0,1.0,1942.0,8,0,458.06
2,60.0,2,2.0,9.0,2019.0,14,0,770.0
4,100.44,4,4.0,8.0,2012.0,16,1,1730.0
1,40.0,2,2.0,2.0,1964.0,14,1,670.0
4,91.0,3,3.0,9.0,2016.0,12,0,1320.0
2,53.8,2,2.0,1.0,1928.0,4,1,398.0
2,53.55,2,2.0,2.0,1966.0,13,1,692.0
2,56.45,2,2.0,4.0,1985.0,8,1,858.0
1,22.5,1,1.0,9.0,2017.0,14,1,535.0
2,56.1,2,2.0,1.0,1950.0,8,1,490.0
1,21.63,1,1.0,8.0,2012.0,13,1,599.0
3,70.0,3,3.0,2.0,1966.0,13,0,720.0
2,53.0,2,2.0,1.0,1928.0,4,0,332.6
3,74.0,3,3.0,5.0,1998.0,14,0,1450.0
5,115.0,3,3.0,4.0,1990.0,14,0,1800.0
3,76.65,4,4.0,3.0,1979.0,1,0,550.0
3,62.9,3,3.0,1.0,1949.0,8,0,681.62
7,151.0,4,4.0,9.0,2019.0,13,1,2715.0
5,120.0,5,5.0,3.0,1972.0,8,0,1120.0
7,208.0,4,4.0,3.0,1974.0,12,1,1580.0
2,60.85,3,3.0,4.0,1981.0,1,0,440.0
2,53.9,2,2.0,4.0,1986.0,4,1,329.0
4,83.0,2,2.0,2.0,1962.0,13,0,950.0
4,82.0,3,3.0,5.0,1994.0,8,0,805.0
6,143.0,3,3.0,8.0,2012.0,7,0,1925.0
1,38.0,1,1.0,5.0,1998.0,8,1,490.0
5,105.0,3,3.5,1.0,1902.0,8,1,1100.0
1,35.0,1,1.0,1.0,1908.0,2,1,397.5
3,68.14,3,3.0,4.0,1983.0,4,1,660.0
4,83.0,3,3.0,4.0,1983.0,8,1,750.0
6,123.0,4,4.0,6.0,2003.0,13,0,1250.0
7,155.12,4,4.0,5.0,1992.0,15,1,2992.67
2,50.6,2,2.0,2.0,1967.0,2,0,386.0
3,64.52,2,2.0,1.0,1900.0,4,1,732.0
2,55.75,3,3.5,2.0,1955.0,8,1,578.0
6,133.0,4,4.0,1.0,1909.0,15,1,1317.0
3,63.0,2,2.0,1.0,1900.0,4,0,405.0
1,40.64,1,1.0,3.0,1980.0,7,0,465.0
3,80.0,3,3.0,4.0,1985.0,12,1,1050.0
3,64.86,2,2.0,9.0,2019.0,8,0,807.0
3,69.63,2,2.5,1.0,1873.0,4,1,840.0
6,124.35,3,3.0,9.0,2018.0,9,0,1245.0
2,58.04,3,3.0,2.0,1954.0,8,1,481.73
1,32.65,1,1.0,3.0,1979.0,3,0,216.0
2,56.0,2,2.0,1.0,1911.0,2,0,370.0
2,48.9,2,2.0,1.0,1936.0,7,0,403.4
4,90.74,4,4.0,4.0,1981.0,1,0,753.14
6,125.37,3,3.0,8.0,2013.0,14,0,1750.0
2,48.0,2,2.0,1.0,1907.0,10,0,490.0
3,80.0,2,2.0,2.0,1956.0,7,0,790.0
1,35.74,1,1.0,4.0,1984.0,4,1,357.0
4,86.14,3,3.0,9.0,2017.0,10,0,1477.0
2,57.84,2,2.0,2.0,1951.0,15,1,527.79
3,64.13,3,3.0,2.0,1953.0,8,1,759.52
