regio1,baseRent
12,118.0
12,135.0
12,155.0
12,155.0
12,155.0
12,175.0
12,177.75
12,179.0
12,185.0
12,185.0
12,185.0
12,185.0
12,185.0
12,189.0
12,190.0
12,200.0
12,200.0
12,200.0
12,205.0
12,210.0
12,210.0
12,216.0
12,217.67
12,220.0
12,220.0
12,225.0
12,225.0
12,230.0
12,230.0
12,230.0
12,230.0
12,235.0
12,238.7
12,240.0
12,240.0
12,240.0
12,240.0
12,240.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,250.0
12,255.0
12,255.0
12,255.0
12,255.0
12,255.0
12,260.0
12,260.0
12,260.0
12,260.0
12,260.0
12,260.0
12,260.0
12,260.0
12,260.0
12,260.0
12,260.0
12,262.0
12,265.0
12,265.0
12,267.0
12,270.0
12,270.0
12,270.0
12,270.0
12,270.0
12,270.0
12,270.0
12,270.0
12,270.0
12,270.0
12,270.0
12,274.0
12,275.0
12,275.0
12,275.0
12,276.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,280.0
12,282.0
12,285.0
12,286.8
12,288.0
12,289.9
12,290.0
12,290.0
12,290.0
12,290.0
12,290.0
12,290.0
12,290.0
12,290.0
12,290.0
12,290.0
12,293.9
12,294.0
12,294.0
12,295.0
12,295.0
12,295.0
12,295.0
12,298.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,300.0
12,305.0
12,305.0
12,305.0
12,306.0
12,308.45
12,309.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,310.0
12,311.87
12,312.0
12,312.0
12,312.0
12,312.51
12,314.0
12,315.0
12,315.0
12,315.09
12,316.61
12,318.5
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,320.0
12,323.0
12,323.0
12,323.0
12,324.97
12,325.0
12,325.0
12,325.0
12,325.0
12,327.0
12,327.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.0
12,330.11
12,335.0
12,335.0
12,335.0
12,335.0
12,336.0
