Modell 1,Modell 2
yearConstructed,0.19711224469985167,0.1929356190758617
big_city,0.21499896420427292,0.21890023053566626
yearConstructedRange,0.35531182455785193,0.35492861205638565
livingSpace,0.42656275707875946,0.4080868731741471
noRoomsRange,0.4718744869614844,0.43739772077980393
regio1_numeric,0.4740684070214657,0.4886669098140667
noRooms,0.4853111207190776,0.4507760651963657
livingSpaceRange,0.7118027429904726,0.6796471310500295
Miete_kalt,,1.0
Miete_warm,1.0,
