livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,baseRent
2,53.0,2,2.0,5.0,1995.0,12,0,393.0
3,62.04,3,3.0,1.0,1926.0,4,0,269.0
1,34.0,1,1.0,5.0,1995.0,11,0,350.0
5,110.0,3,3.0,3.0,1972.0,12,0,990.0
4,88.0,3,3.0,4.0,1984.0,7,0,650.0
4,95.0,4,4.0,9.0,2017.0,4,1,912.99
4,86.0,3,3.0,9.0,2020.0,8,1,960.0
3,64.75,2,2.0,1.0,1900.0,4,1,550.0
4,93.17,4,4.0,1.0,1900.0,4,1,590.0
7,160.0,2,2.0,1.0,1920.0,14,1,2880.0
4,83.0,3,3.0,9.0,2018.0,14,0,913.0
3,73.5,3,3.0,9.0,2019.0,5,0,882.0
1,30.0,1,1.0,3.0,1971.0,16,1,161.08
2,50.29,2,2.0,3.0,1980.0,5,0,310.0
2,58.0,2,2.0,1.0,1910.0,4,1,290.0
6,134.0,3,3.0,1.0,1900.0,14,1,3890.0
3,67.0,2,2.0,5.0,1995.0,8,0,460.0
2,46.0,2,2.0,1.0,1914.0,4,0,270.0
2,59.14,3,3.0,3.0,1975.0,4,0,301.61
2,51.0,2,2.0,8.0,2013.0,1,0,395.0
4,86.26,2,2.0,1.0,1890.0,15,1,1300.0
2,49.0,2,2.0,9.0,2019.0,8,0,540.0
6,148.0,3,3.5,9.0,2017.0,12,0,1950.0
3,70.0,2,2.0,9.0,2019.0,13,0,750.0
2,54.55,2,2.0,4.0,1983.0,4,0,300.03
4,94.0,3,3.0,1.0,1914.0,8,1,611.0
3,61.71,3,3.0,1.0,1900.0,4,0,315.0
3,61.2,3,3.0,4.0,1982.0,2,0,306.0
4,97.0,4,4.0,3.0,1972.0,16,1,1211.0
4,97.5,3,3.0,1.0,1930.0,1,0,375.0
2,45.0,2,2.0,1.0,1932.0,4,0,183.0
2,54.6,2,2.0,1.0,1900.0,8,0,395.0
3,61.11,3,3.0,2.0,1963.0,1,0,337.0
3,72.0,2,2.0,1.0,1925.0,11,0,595.0
6,130.0,3,3.0,5.0,1998.0,14,0,800.0
3,73.7,3,3.0,1.0,1908.0,4,1,510.0
3,67.85,3,3.0,2.0,1955.0,1,1,379.96
3,63.0,2,2.0,1.0,1900.0,10,0,440.0
3,80.0,2,2.0,3.0,1978.0,14,0,640.0
5,118.0,4,4.0,1.0,1850.0,3,0,950.0
4,96.82,3,3.0,9.0,2018.0,8,1,1065.02
3,62.0,3,3.0,1.0,1934.0,4,0,344.9
5,117.0,4,4.0,1.0,1860.0,14,1,2680.0
5,110.0,4,4.0,1.0,1929.0,7,1,1200.0
2,47.0,2,2.0,2.0,1964.0,4,0,230.0
5,115.37,3,3.0,9.0,2019.0,8,0,1269.0
6,121.0,4,4.0,8.0,2015.0,8,1,1331.0
5,119.86,4,4.0,9.0,2018.0,13,0,1200.0
4,93.0,1,1.5,6.0,2002.0,13,1,1400.0
3,65.0,2,2.0,3.0,1978.0,7,0,650.0
4,81.81,3,3.0,9.0,2019.0,3,0,899.0
1,32.0,1,1.0,5.0,1999.0,4,1,155.6
3,72.0,3,3.0,1.0,1900.0,12,1,960.0
3,77.28,3,3.0,6.0,2004.0,2,0,300.0
3,67.57,2,2.0,3.0,1975.0,8,0,371.65
3,76.11,4,4.0,3.0,1978.0,3,0,270.0
3,68.21,2,2.0,3.0,1977.0,8,1,622.08
3,75.74,3,3.0,3.0,1974.0,8,1,419.0
4,88.0,3,3.5,1.0,1930.0,8,1,520.0
2,49.02,1,1.0,5.0,1995.0,1,0,231.0
1,37.27,1,1.0,9.0,2018.0,14,1,1300.0
3,64.88,3,3.0,2.0,1958.0,8,0,450.0
2,60.0,2,2.0,3.0,1971.0,12,1,430.0
5,112.2,4,4.0,1.0,1910.0,1,0,527.0
2,58.0,2,2.0,2.0,1970.0,8,0,300.0
6,132.08,3,3.0,1.0,1900.0,4,1,1090.0
6,135.0,4,4.5,5.0,1991.0,11,0,850.0
1,40.72,1,1.0,1.0,1950.0,1,1,262.0
6,125.0,3,3.5,9.0,2019.0,12,0,1600.0
3,80.0,3,3.0,1.0,1900.0,4,0,360.0
3,72.24,4,4.0,2.0,1962.0,4,1,506.0
3,67.0,3,3.0,1.0,1906.0,9,0,335.0
2,59.59,2,2.0,1.0,1900.0,4,1,360.0
3,74.0,3,3.0,5.0,1995.0,4,0,350.0
3,63.5,2,2.0,4.0,1982.0,4,0,403.0
2,50.0,2,2.0,1.0,1940.0,13,0,380.0
5,106.0,3,3.0,8.0,2013.0,14,0,800.0
4,94.0,3,3.0,1.0,1900.0,11,0,890.0
2,44.5,2,2.0,2.0,1954.0,12,0,610.0
2,52.0,1,1.0,9.0,2016.0,5,0,595.0
3,79.0,3,3.0,1.0,1910.0,8,1,650.0
2,47.33,2,2.0,3.0,1974.0,7,0,317.0
2,56.0,2,2.0,9.0,2016.0,14,1,800.0
3,68.46,2,2.0,5.0,1998.0,5,1,999.0
4,100.1,3,3.0,9.0,2018.0,4,1,1101.0
4,83.0,3,3.0,5.0,1996.0,4,1,706.0
4,86.0,4,4.0,5.0,1995.0,8,1,635.0
7,161.0,4,4.0,5.0,1997.0,5,1,1530.0
1,40.0,1,1.0,5.0,1997.0,7,0,280.0
3,70.02,3,3.0,4.0,1981.0,1,1,336.1
2,60.0,3,3.0,2.0,1967.0,4,0,297.0
5,110.0,2,2.5,4.0,1990.0,8,0,810.0
5,120.0,3,3.5,9.0,2016.0,14,0,1050.0
5,107.0,4,4.0,9.0,2019.0,4,1,1159.0
2,47.0,2,2.0,2.0,1953.0,1,1,327.13
6,131.5,4,4.5,5.0,1992.0,13,0,1180.0
2,50.32,2,2.0,1.0,1932.0,8,1,301.92
2,60.0,2,2.0,1.0,1925.0,1,0,421.0
3,78.59,3,3.0,7.0,2007.0,8,1,620.0
5,102.0,3,3.5,7.0,2008.0,14,1,2500.0
2,55.5,2,2.0,1.0,1930.0,4,1,470.0
4,92.65,3,3.5,2.0,1970.0,14,0,315.0
4,81.0,3,3.0,3.0,1978.0,8,0,475.0
2,41.33,2,2.0,4.0,1984.0,8,1,950.0
2,54.17,2,2.0,4.0,1988.0,5,0,257.31
3,79.5,2,2.0,9.0,2019.0,11,0,680.0
4,91.62,3,3.0,9.0,2019.0,15,1,1420.11
2,57.0,2,2.0,2.0,1952.0,12,1,1026.0
2,47.0,2,2.0,1.0,1895.0,15,1,632.0
3,74.0,3,3.0,3.0,1973.0,8,1,403.3
3,69.79,3,3.0,1.0,1874.0,1,1,370.0
2,59.5,2,2.0,9.0,2020.0,5,0,476.0
6,123.5,5,6.0,4.0,1981.0,4,0,550.0
4,82.96,4,4.0,2.0,1955.0,8,1,460.43
3,62.0,2,2.0,3.0,1974.0,7,0,572.0
5,120.0,5,5.0,5.0,1999.0,4,1,600.0
3,64.17,2,2.0,1.0,1920.0,12,0,575.0
4,89.0,3,3.0,4.0,1981.0,8,0,650.0
2,58.63,2,2.0,1.0,1910.0,15,1,588.0
2,51.84,2,2.0,9.0,2018.0,5,0,622.0
3,80.16,3,3.0,3.0,1976.0,8,1,439.0
3,75.0,3,3.0,6.0,2003.0,13,1,1125.0
2,50.78,1,1.0,2.0,1958.0,8,1,304.78
1,28.0,1,1.0,2.0,1960.0,8,0,220.0
2,57.0,2,2.0,1.0,1900.0,4,0,290.0
2,45.0,2,2.0,1.0,1900.0,14,1,630.0
2,58.4,2,2.0,1.0,1900.0,2,1,420.0
3,65.14,2,2.0,5.0,1999.0,10,0,650.0
4,89.0,3,3.0,1.0,1886.0,2,0,540.0
5,109.35,4,4.0,9.0,2019.0,12,0,1229.0
3,75.0,4,4.0,8.0,2015.0,8,0,495.0
