livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,baseRent
4,82.05,3,3.0,9.0,2016.0,14,0,720.0
5,104.88,4,4.0,5.0,1996.0,4,0,587.33
4,87.0,3,3.0,2.0,1969.0,7,0,550.0
2,46.0,2,2.0,5.0,1991.0,12,0,460.0
3,61.2,3,3.0,2.0,1966.0,5,0,413.1
4,84.34,2,2.0,9.0,2019.0,10,0,886.0
4,96.0,2,2.0,1.0,1950.0,8,1,840.0
2,42.0,1,1.0,2.0,1970.0,8,1,390.0
3,64.3,3,3.5,2.0,1959.0,8,1,412.0
5,106.27,3,3.0,9.0,2018.0,12,1,1490.0
2,55.36,2,2.0,1.0,1905.0,15,1,887.41
2,60.93,2,2.0,1.0,1928.0,4,0,320.0
3,66.63,3,3.0,2.0,1969.0,3,0,380.0
4,82.0,3,3.0,8.0,2013.0,14,0,1100.0
2,55.0,2,2.0,8.0,2011.0,8,1,685.0
3,61.2,3,3.0,4.0,1984.0,2,0,320.0
5,104.0,4,4.5,2.0,1965.0,6,1,630.0
2,57.0,2,2.0,2.0,1964.0,8,0,440.0
1,38.37,2,2.0,3.0,1973.0,4,0,228.84
3,74.37,3,3.0,5.0,1995.0,8,0,332.7
4,94.0,4,4.0,2.0,1961.0,8,1,610.0
2,53.37,2,2.0,5.0,1994.0,4,1,380.0
3,78.82,4,4.5,2.0,1968.0,8,0,460.0
3,79.43,3,3.0,8.0,2013.0,7,0,765.0
3,75.1,2,2.0,1.0,1900.0,1,0,460.0
6,127.38,2,2.0,9.0,2017.0,7,0,1050.0
5,103.95,4,4.0,9.0,2018.0,8,1,1196.0
4,85.0,3,3.0,7.0,2008.0,14,0,1270.0
6,126.72,3,3.0,1.0,1906.0,15,1,1584.0
6,150.0,5,5.0,1.0,1910.0,13,1,1699.0
4,97.92,4,4.0,2.0,1953.0,13,1,788.26
3,77.0,3,3.0,1.0,1918.0,13,0,720.0
3,74.82,3,3.0,9.0,2016.0,12,0,666.0
4,87.22,4,4.0,5.0,1991.0,8,0,565.0
6,133.0,4,4.0,1.0,1904.0,13,1,1230.0
3,72.2,3,3.0,2.0,1970.0,7,0,491.0
6,128.0,3,3.0,1.0,1920.0,1,0,675.0
1,30.6,1,1.0,3.0,1976.0,4,0,165.0
5,109.67,4,4.0,2.0,1969.0,13,1,994.0
1,39.42,2,2.0,5.0,1992.0,7,1,325.0
3,74.0,3,3.0,5.0,1995.0,14,0,1000.0
2,42.18,1,1.0,5.0,1991.0,4,0,240.0
4,84.14,4,4.0,2.0,1965.0,14,0,347.02
2,52.07,2,2.0,5.0,1997.0,15,1,479.0
3,65.2,2,2.0,1.0,1910.0,4,1,325.0
2,54.0,2,2.0,9.0,2019.0,7,0,522.99
2,60.41,3,3.0,1.0,1914.0,4,0,375.0
3,73.58,4,4.0,4.0,1987.0,5,0,404.69
2,56.0,2,2.0,1.0,1900.0,4,1,390.0
4,90.0,3,3.0,3.0,1972.0,12,0,600.0
5,102.0,3,3.0,1.0,1937.0,11,0,943.5
3,79.35,2,2.0,3.0,1972.0,7,1,572.0
2,50.0,2,2.0,7.0,2008.0,13,0,650.0
2,41.04,1,1.0,1.0,1902.0,1,1,283.18
2,45.0,2,2.0,5.0,1996.0,4,1,428.0
6,130.0,5,5.0,1.0,1924.0,4,0,780.0
3,68.0,2,2.0,1.0,1905.0,1,0,680.0
3,75.0,3,3.0,3.0,1975.0,8,1,495.0
2,50.81,2,2.0,5.0,1999.0,4,1,267.0
6,135.68,2,2.0,1.0,1918.0,15,1,2498.0
2,48.0,2,2.0,4.0,1988.0,14,1,550.0
2,59.67,3,3.0,3.0,1974.0,1,0,239.0
2,55.0,3,3.0,5.0,2000.0,12,0,800.0
2,52.67,2,2.0,1.0,1836.0,4,1,795.0
2,50.0,1,1.0,1.0,1912.0,15,1,475.0
4,87.0,3,3.0,5.0,1995.0,4,1,635.0
3,61.19,3,3.0,2.0,1953.0,8,1,305.95
3,70.0,3,3.0,2.0,1967.0,8,0,490.0
4,86.0,2,2.0,5.0,1998.0,10,0,850.0
2,46.0,2,2.0,1.0,1900.0,4,0,288.0
2,57.87,2,2.0,1.0,1925.0,4,1,400.0
1,31.41,1,1.0,2.0,1965.0,1,0,165.0
4,85.0,3,3.0,1.0,1915.0,4,0,370.0
3,65.66,2,2.0,2.0,1965.0,8,0,390.0
3,76.34,3,3.0,9.0,2018.0,8,1,725.23
2,60.0,3,3.0,2.0,1955.0,8,1,360.0
4,98.0,5,5.0,6.0,2005.0,12,0,740.0
5,110.0,4,4.0,1.0,1900.0,2,0,990.0
4,100.0,3,3.0,1.0,1912.0,5,0,1150.0
4,95.0,3,3.0,9.0,2020.0,14,1,1735.0
6,124.7,4,4.0,9.0,2017.0,16,1,1735.0
5,102.0,4,4.0,2.0,1965.0,13,0,400.0
1,29.95,1,1.0,3.0,1977.0,4,0,180.0
3,67.29,3,3.0,9.0,2019.0,16,1,908.42
5,109.0,4,4.0,4.0,1988.0,14,1,1490.0
4,93.52,3,3.0,3.0,1971.0,14,0,1090.0
2,51.5,2,2.0,1.0,1900.0,4,1,388.0
2,53.5,2,2.0,2.0,1970.0,3,0,298.0
2,44.0,2,2.0,2.0,1962.0,7,1,479.0
3,75.0,3,3.0,9.0,2016.0,8,0,755.0
3,65.0,3,3.0,1.0,1930.0,5,0,350.0
2,47.06,1,1.0,1.0,1902.0,4,0,244.5
2,47.0,1,1.5,9.0,2018.0,12,0,664.0
4,83.12,3,3.0,9.0,2017.0,5,0,1070.59
3,72.0,3,3.0,8.0,2011.0,8,1,500.0
3,65.0,2,2.0,5.0,1994.0,4,0,390.0
5,116.0,3,3.0,8.0,2011.0,14,1,2380.0
2,58.71,2,2.0,1.0,1910.0,4,1,320.0
2,41.92,2,2.0,4.0,1985.0,4,1,218.0
2,59.92,2,2.5,1.0,1950.0,8,1,499.0
3,69.07,3,3.0,2.0,1970.0,16,1,732.14
3,63.45,2,2.0,1.0,1905.0,4,1,320.0
2,59.63,3,3.0,3.0,1980.0,2,0,290.0
3,75.0,3,3.0,3.0,1980.0,7,0,680.0
3,80.0,3,3.0,9.0,2019.0,14,1,1744.0
3,75.0,2,2.5,1.0,1900.0,7,0,475.0
3,70.17,3,3.0,2.0,1962.0,14,0,351.0
3,65.0,3,3.0,5.0,1991.0,12,0,470.0
2,60.0,2,2.0,1.0,1890.0,10,0,400.0
1,17.0,1,1.0,2.0,1955.0,7,1,399.0
3,62.5,2,2.0,1.0,1918.0,4,1,688.0
2,55.0,2,2.0,3.0,1978.0,14,1,1450.0
5,103.0,4,4.5,1.0,1915.0,8,1,645.0
2,48.0,2,2.0,1.0,1900.0,4,0,330.0
2,54.0,2,2.0,1.0,1900.0,8,1,650.0
3,66.0,2,2.0,6.0,2001.0,4,1,330.0
2,60.56,3,3.0,3.0,1980.0,4,1,305.0
2,54.04,2,2.5,1.0,1949.0,10,0,499.0
1,40.0,2,2.0,2.0,1970.0,8,0,400.0
2,52.88,2,2.0,2.0,1953.0,8,0,388.67
2,60.34,2,2.0,1.0,1900.0,15,1,1200.0
3,62.28,2,2.5,5.0,2000.0,12,0,625.0
2,49.38,2,2.0,5.0,1996.0,2,0,229.62
4,95.0,4,4.5,3.0,1976.0,7,0,655.0
4,85.0,3,3.0,2.0,1951.0,8,1,700.0
4,85.0,3,3.0,2.0,1962.0,12,0,595.0
6,125.0,4,4.5,3.0,1974.0,12,0,1050.0
2,59.35,3,3.0,3.0,1980.0,2,0,296.75
6,141.09,4,4.0,1.0,1877.0,4,1,1269.81
4,84.76,2,2.0,3.0,1972.0,8,0,424.0
1,30.0,1,1.0,4.0,1982.0,8,0,195.0
3,70.2,3,3.0,8.0,2015.0,4,1,772.0
2,51.2,2,2.0,1.0,1900.0,4,1,190.0
3,71.52,3,3.0,9.0,2019.0,14,0,465.0
3,77.0,3,3.0,4.0,1985.0,8,0,554.0
2,51.0,2,2.0,2.0,1959.0,4,0,249.0
4,81.37,3,3.0,4.0,1982.0,10,0,569.5
2,56.18,3,3.0,3.0,1979.0,1,0,260.0
2,60.0,3,3.0,1.0,1880.0,1,0,300.0
1,20.5,1,1.0,5.0,1995.0,4,1,249.0
5,114.8,5,5.0,5.0,2000.0,5,0,795.0
5,112.0,3,3.5,9.0,2018.0,8,0,1399.0
2,52.0,2,2.0,1.0,1904.0,4,1,265.0
3,69.96,2,2.0,9.0,2017.0,7,0,699.0
2,42.41,1,1.0,5.0,1997.0,4,1,340.0
1,38.76,1,1.0,5.0,1993.0,14,0,330.0
5,112.0,2,2.0,8.0,2014.0,8,0,1119.0
4,84.0,3,3.0,1.0,1920.0,1,1,504.0
4,90.2,3,3.0,9.0,2017.0,14,0,750.0
5,101.0,3,3.0,1.0,1890.0,13,1,2100.0
2,42.0,1,1.0,5.0,1995.0,5,0,420.0
5,110.0,4,4.0,2.0,1956.0,8,1,700.0
2,58.42,3,3.0,3.0,1976.0,5,0,321.31
5,118.34,4,4.0,9.0,2016.0,4,1,1289.91
3,65.0,2,2.5,4.0,1984.0,8,0,460.0
4,95.0,2,2.0,9.0,2018.0,14,0,1150.0
2,46.23,1,1.0,9.0,2016.0,14,0,510.0
3,78.0,2,2.0,3.0,1976.0,16,1,750.0
2,45.0,2,2.0,2.0,1955.0,8,1,310.0
4,87.74,3,3.0,6.0,2003.0,12,0,898.0
4,89.33,4,4.0,4.0,1983.0,14,0,394.29
2,52.2,2,2.0,1.0,1935.0,4,1,287.1
2,56.02,2,2.0,9.0,2019.0,4,1,645.0
2,53.16,2,2.0,5.0,1996.0,4,0,320.0
2,44.0,2,2.0,1.0,1870.0,4,1,325.0
6,127.0,3,3.0,9.0,2018.0,13,0,1580.0
4,91.45,2,2.0,5.0,2000.0,15,1,932.79
2,46.03,2,2.0,1.0,1935.0,4,1,200.0
4,96.29,2,2.0,9.0,2019.0,7,0,830.0
7,160.0,5,5.0,1.0,1950.0,2,0,800.0
3,78.0,3,3.0,1.0,1905.0,4,1,400.0
5,105.0,4,4.0,1.0,1912.0,5,1,1200.0
1,40.0,1,1.0,2.0,1956.0,8,1,790.0
1,26.0,1,1.0,1.0,1900.0,13,1,1200.0
2,45.66,2,2.0,2.0,1954.0,14,0,192.0
2,55.72,2,2.0,2.0,1967.0,8,1,326.0
4,92.0,2,2.5,3.0,1972.0,8,1,600.0
2,58.9,3,3.0,1.0,1940.0,7,0,306.0
2,56.0,2,2.0,2.0,1953.0,8,1,412.0
2,46.13,2,2.0,2.0,1968.0,4,0,213.0
2,43.0,2,2.0,1.0,1907.0,4,1,435.0
2,56.5,2,2.0,1.0,1924.0,4,0,330.0
3,71.7,4,4.0,2.0,1956.0,7,0,375.0
4,100.0,4,4.0,2.0,1970.0,13,0,800.0
7,220.0,4,4.5,4.0,1985.0,14,1,4200.0
1,20.5,1,1.0,8.0,2011.0,5,1,356.5
5,118.0,4,4.0,2.0,1965.0,8,1,780.0
2,56.81,3,3.0,3.0,1978.0,1,0,286.0
3,75.0,2,2.0,1.0,1920.0,4,1,490.0
2,55.0,3,3.0,2.0,1963.0,7,0,250.0
2,60.01,3,3.0,2.0,1960.0,1,0,342.0
3,66.71,3,3.0,4.0,1988.0,2,1,370.0
6,141.0,3,3.0,8.0,2013.0,8,1,1200.0
2,47.57,2,2.0,1.0,1910.0,4,1,228.0
2,55.8,3,3.0,3.0,1979.0,4,0,289.0
4,91.0,3,3.0,1.0,1914.0,4,1,518.0
7,195.0,3,3.0,6.0,2002.0,16,1,2000.0
4,98.0,3,3.0,9.0,2018.0,16,1,1394.85
4,92.0,4,4.0,8.0,2014.0,8,0,760.0
6,124.0,3,3.0,5.0,1992.0,8,0,1066.4
2,52.67,2,2.0,9.0,2018.0,8,1,895.39
6,130.92,4,4.0,9.0,2019.0,14,1,3668.0
1,40.0,2,2.0,2.0,1959.0,12,0,450.0
4,91.61,2,2.0,9.0,2017.0,8,0,961.91
5,101.38,3,3.0,9.0,2019.0,15,1,1890.0
2,47.51,1,1.0,5.0,1995.0,4,0,255.0
6,121.0,4,4.0,1.0,1905.0,12,0,907.0
2,58.51,2,2.0,5.0,2000.0,4,1,498.0
4,82.7,3,3.0,4.0,1983.0,8,1,930.0
5,110.83,3,3.0,8.0,2014.0,15,1,2090.0
3,71.0,3,3.0,2.0,1964.0,8,1,550.34
3,75.5,3,3.0,2.0,1969.0,14,0,312.0
4,82.0,3,3.0,2.0,1960.0,11,0,360.0
3,70.0,3,3.0,2.0,1954.0,3,0,343.0
3,67.0,3,3.0,2.0,1960.0,8,0,348.0
3,64.3,2,2.0,9.0,2019.0,15,1,870.0
2,57.19,2,2.0,3.0,1977.0,13,0,400.0
1,29.51,1,1.0,3.0,1976.0,15,1,330.22
4,81.0,3,3.0,1.0,1910.0,3,0,648.0
4,89.0,3,3.0,1.0,1900.0,1,0,495.0
3,62.16,2,2.0,3.0,1980.0,1,0,488.44
5,115.12,3,3.0,3.0,1975.0,13,1,900.0
2,58.0,2,2.0,5.0,1999.0,14,1,940.0
3,66.0,2,2.0,5.0,1998.0,1,1,420.0
4,90.0,2,2.0,1.0,1893.0,15,1,1100.0
1,34.37,1,1.0,1.0,1941.0,7,0,219.0
4,96.59,3,3.0,5.0,1998.0,15,1,900.0
3,70.84,4,4.0,3.0,1971.0,1,0,362.0
2,52.64,2,2.0,3.0,1975.0,4,0,276.87
2,55.55,2,2.0,2.0,1969.0,3,0,305.0
2,52.0,2,2.0,1.0,1950.0,8,1,415.0
2,54.0,2,2.5,1.0,1913.0,16,1,750.0
3,76.0,3,3.0,1.0,1900.0,4,1,380.0
3,78.41,3,3.0,3.0,1972.0,11,1,883.68
4,94.0,3,3.0,3.0,1979.0,8,0,650.0
1,40.0,1,1.0,5.0,1998.0,4,1,230.0
4,82.0,3,3.0,3.0,1977.0,4,0,419.02
4,100.6,4,4.0,1.0,1900.0,4,1,834.98
4,90.0,3,3.0,1.0,1881.0,13,1,2000.0
3,71.0,2,2.0,5.0,1998.0,2,0,430.0
1,25.0,1,1.0,2.0,1953.0,8,1,321.5
1,38.0,1,1.0,1.0,1938.0,4,0,135.0
4,93.0,3,3.0,3.0,1971.0,12,1,1175.0
5,116.0,3,3.0,6.0,2004.0,8,1,1500.0
5,119.0,3,3.0,7.0,2007.0,16,1,2040.0
5,104.4,3,3.5,1.0,1775.0,12,0,1350.0
3,68.93,3,3.0,2.0,1959.0,12,1,501.0
2,45.47,2,2.0,2.0,1964.0,2,1,386.5
1,34.0,1,1.0,5.0,1991.0,13,0,370.0
7,160.0,5,5.0,4.0,1982.0,12,1,1650.0
3,80.87,2,2.5,1.0,1935.0,16,1,800.0
3,78.0,3,3.0,1.0,1903.0,1,1,468.0
4,86.0,3,3.0,5.0,1995.0,4,1,620.0
2,52.05,3,3.0,1.0,1930.0,1,0,245.0
5,118.0,3,3.0,2.0,1969.0,14,1,1357.0
4,98.5,3,3.0,9.0,2019.0,11,0,940.0
2,42.0,2,2.0,1.0,1913.0,4,1,205.0
6,140.0,4,4.0,1.0,1900.0,13,1,2050.0
3,70.0,2,2.0,2.0,1965.0,8,1,750.0
2,60.0,2,2.0,6.0,2004.0,8,1,1140.0
1,31.23,1,1.0,3.0,1980.0,1,0,218.61
3,64.89,3,3.0,1.0,1938.0,8,1,419.0
4,86.35,3,3.0,2.0,1952.0,14,1,1577.1
6,125.0,2,2.5,4.0,1988.0,13,0,990.0
4,89.0,3,3.0,3.0,1975.0,7,0,510.0
2,57.0,2,2.0,1.0,1900.0,4,1,695.0
4,97.0,3,3.5,9.0,2018.0,8,0,800.0
3,68.0,3,3.0,3.0,1980.0,2,0,314.0
3,78.0,4,4.0,3.0,1980.0,8,1,550.0
3,67.0,2,2.0,1.0,1912.0,13,0,770.0
3,65.0,2,2.5,1.0,1920.0,13,1,640.0
5,105.0,4,4.0,2.0,1956.0,8,1,525.0
1,36.0,1,1.5,2.0,1969.0,8,1,250.0
3,63.0,2,2.0,9.0,2016.0,8,1,995.0
6,150.38,5,5.0,9.0,2020.0,14,1,2650.0
3,65.0,3,3.0,5.0,2000.0,7,0,370.0
2,51.23,2,2.0,1.0,1920.0,1,0,282.0
2,59.66,3,3.0,3.0,1975.0,3,0,274.44
3,63.0,3,3.0,1.0,1950.0,14,1,680.0
3,73.6,3,3.0,5.0,1997.0,4,1,515.0
1,37.37,1,1.0,2.0,1968.0,10,0,197.0
2,59.57,2,2.5,6.0,2005.0,8,1,378.98
1,39.0,2,2.0,1.0,1910.0,8,1,320.0
6,123.7,4,4.0,9.0,2018.0,4,1,1605.0
2,45.91,2,2.0,1.0,1900.0,4,1,300.0
4,91.59,4,4.0,5.0,1998.0,4,1,530.0
4,93.0,3,3.0,9.0,2016.0,13,1,885.0
5,104.77,4,4.0,1.0,1926.0,8,0,680.0
1,40.0,2,2.0,4.0,1982.0,7,1,365.0
2,56.0,2,2.0,1.0,1935.0,2,1,430.0
5,114.0,4,4.0,1.0,1918.0,4,0,550.0
4,86.24,3,3.5,2.0,1961.0,12,0,1440.0
2,54.44,2,2.0,1.0,1930.0,15,1,416.47
3,62.1,3,3.0,1.0,1946.0,7,1,490.0
2,59.5,2,2.0,2.0,1962.0,1,0,357.0
2,43.65,2,2.0,1.0,1916.0,1,1,264.96
3,68.57,2,2.0,1.0,1910.0,3,0,310.0
2,60.16,2,2.0,2.0,1964.0,8,0,330.0
2,49.5,2,2.0,4.0,1982.0,4,1,341.0
3,65.0,2,2.0,3.0,1972.0,14,1,845.0
2,51.12,2,2.0,1.0,1900.0,3,1,435.0
2,48.0,2,2.5,3.0,1971.0,8,0,355.2
3,70.0,3,3.0,2.0,1959.0,8,1,500.0
4,81.0,3,3.0,4.0,1990.0,7,0,575.0
3,75.0,3,3.0,5.0,1998.0,1,1,500.0
7,152.6,5,5.0,2.0,1951.0,8,1,1370.0
2,60.5,2,2.0,2.0,1962.0,4,1,363.0
6,145.0,4,4.0,8.0,2015.0,14,1,2450.0
2,53.67,3,3.0,1.0,1931.0,7,0,303.0
2,44.14,1,1.0,5.0,1996.0,4,1,307.0
3,75.19,2,2.0,5.0,1996.0,4,1,640.0
4,86.37,2,2.0,4.0,1990.0,15,1,974.59
3,73.0,3,3.5,2.0,1967.0,8,1,653.35
1,33.8,1,1.0,2.0,1952.0,7,0,220.0
3,67.0,2,2.0,2.0,1965.0,8,0,355.0
3,79.23,4,4.0,2.0,1953.0,8,1,610.0
2,59.75,3,3.5,4.0,1990.0,8,0,299.0
2,57.31,2,2.0,5.0,1994.0,4,1,430.0
2,52.0,2,2.0,2.0,1960.0,8,1,465.0
5,116.0,3,3.0,3.0,1974.0,8,1,860.0
2,41.33,2,2.0,1.0,1930.0,4,1,225.0
5,110.0,4,4.5,3.0,1978.0,13,0,690.0
2,55.03,3,3.0,2.0,1956.0,8,1,425.0
2,60.0,3,3.0,2.0,1961.0,4,0,320.0
1,35.9,1,1.0,2.0,1958.0,4,0,176.27
3,61.0,3,3.0,1.0,1940.0,1,1,380.0
2,57.17,2,2.0,1.0,1900.0,9,0,286.0
2,50.34,2,2.0,6.0,2003.0,14,1,497.36
2,48.0,1,1.0,4.0,1985.0,7,0,330.0
3,65.2,2,2.0,1.0,1906.0,15,1,782.5
1,21.7,1,1.0,9.0,2017.0,14,1,395.0
3,72.21,3,3.5,4.0,1982.0,8,0,330.65
5,116.0,3,3.5,2.0,1958.0,8,1,754.0
3,65.0,3,3.0,2.0,1966.0,8,1,350.0
3,66.85,2,2.0,9.0,2019.0,4,1,669.0
2,55.91,2,2.0,2.0,1956.0,1,0,286.0
1,29.0,1,1.0,4.0,1989.0,12,0,460.0
2,55.0,2,2.0,1.0,1910.0,10,0,452.65
3,61.94,2,2.0,5.0,1997.0,4,1,490.7
5,110.0,5,5.0,1.0,1650.0,12,0,650.0
5,110.0,3,3.0,8.0,2015.0,8,0,2490.0
2,45.0,2,2.0,1.0,1901.0,4,1,450.0
5,101.5,3,3.0,4.0,1987.0,8,1,1830.0
4,90.0,3,3.0,9.0,2019.0,7,0,1077.6
1,38.0,2,2.0,1.0,1936.0,1,0,200.0
2,60.0,3,3.0,2.0,1969.0,4,1,311.0
3,76.7,2,2.0,2.0,1969.0,11,1,974.36
2,49.0,2,2.0,2.0,1969.0,4,0,230.0
3,71.28,3,3.0,9.0,2018.0,4,1,798.0
4,82.0,2,2.0,3.0,1975.0,8,0,480.0
2,44.68,2,2.0,2.0,1966.0,4,1,345.0
2,60.0,2,2.0,5.0,1999.0,1,0,380.0
3,62.0,3,3.0,1.0,1930.0,1,0,403.0
3,66.57,3,3.0,2.0,1960.0,13,1,463.99
2,41.0,1,1.0,1.0,1893.0,15,1,399.0
4,84.3,3,3.0,3.0,1975.0,8,1,495.0
2,42.9,2,2.0,1.0,1933.0,4,1,300.0
3,61.0,2,2.0,2.0,1967.0,8,1,332.0
5,114.13,3,3.0,8.0,2013.0,15,1,1690.0
4,82.12,3,3.0,9.0,2017.0,4,1,780.0
5,120.13,4,4.0,1.0,1915.0,4,0,750.0
2,54.9,2,2.0,5.0,1992.0,15,1,505.08
3,77.0,3,3.5,5.0,1995.0,12,0,690.0
3,68.66,3,3.0,2.0,1963.0,13,0,585.0
5,110.0,4,4.0,6.0,2002.0,12,0,1200.0
2,50.0,2,2.0,1.0,1910.0,4,1,225.0
3,79.62,2,2.0,1.0,1722.0,7,0,398.1
6,125.0,5,5.0,5.0,1992.0,12,0,1680.0
3,75.0,2,2.0,4.0,1988.0,14,1,800.0
1,29.08,1,1.0,2.0,1968.0,4,0,200.0
1,31.0,1,1.0,2.0,1959.0,14,1,699.0
3,74.0,2,2.5,2.0,1970.0,13,1,700.0
4,95.0,3,3.0,9.0,2016.0,13,0,770.0
2,49.54,3,3.5,1.0,1930.0,8,1,397.0
4,94.0,3,3.0,9.0,2018.0,13,1,1459.0
3,72.93,3,3.0,3.0,1980.0,8,0,465.66
3,75.05,3,3.5,3.0,1972.0,8,1,700.22
4,88.0,3,3.0,5.0,1995.0,3,0,720.0
2,53.67,2,2.0,3.0,1973.0,13,1,468.0
3,77.2,3,3.0,3.0,1978.0,5,0,409.16
1,37.58,1,1.0,5.0,1999.0,1,0,230.0
3,71.38,3,3.5,1.0,1926.0,8,1,465.0
3,63.0,2,2.0,2.0,1965.0,14,1,1050.0
6,132.0,5,5.0,8.0,2014.0,14,0,1258.0
4,84.0,3,3.5,1.0,1921.0,4,0,270.0
1,40.0,1,1.0,4.0,1984.0,12,1,750.0
3,68.0,3,3.0,2.0,1963.0,14,0,350.0
4,93.44,4,4.0,2.0,1965.0,10,0,635.0
2,60.0,3,3.0,2.0,1957.0,8,1,295.0
3,66.0,2,2.0,4.0,1989.0,7,0,544.0
3,75.87,2,2.0,9.0,2018.0,4,1,853.54
2,47.0,2,2.0,5.0,1991.0,7,0,450.0
2,50.0,2,2.0,3.0,1973.0,13,0,390.0
1,31.5,1,1.0,2.0,1962.0,8,0,240.0
2,57.06,2,2.0,1.0,1938.0,4,1,280.0
4,83.63,3,3.0,1.0,1890.0,12,1,924.0
3,71.0,2,2.0,4.0,1988.0,8,0,486.0
4,89.43,4,4.0,6.0,2005.0,8,0,438.08
3,69.0,3,3.0,1.0,1900.0,14,1,520.0
3,74.0,3,3.0,1.0,1912.0,13,1,740.0
3,76.5,2,2.0,1.0,1900.0,16,1,1050.0
4,100.0,4,4.0,2.0,1962.0,8,0,450.0
2,55.0,3,3.0,1.0,1904.0,12,0,480.0
3,78.0,3,3.0,2.0,1969.0,12,0,700.0
3,63.43,2,2.0,2.0,1963.0,13,1,466.84
1,33.0,1,1.0,5.0,1992.0,2,1,297.0
3,80.56,3,3.0,2.0,1960.0,8,1,740.0
3,75.0,2,2.0,2.0,1964.0,13,0,600.0
2,41.5,1,1.5,1.0,1920.0,10,0,415.0
2,47.25,2,2.0,5.0,1999.0,4,1,260.0
2,48.45,2,2.0,3.0,1979.0,1,0,232.56
2,57.24,2,2.0,1.0,1900.0,4,1,400.0
3,71.9,2,2.0,2.0,1957.0,2,0,465.0
3,65.0,2,2.0,9.0,2018.0,13,1,775.0
3,73.02,3,3.0,2.0,1967.0,8,1,340.02
2,60.51,3,3.0,2.0,1962.0,4,0,271.4
4,90.0,3,3.0,1.0,1936.0,2,0,790.0
5,108.5,4,4.0,1.0,1913.0,4,1,600.0
3,76.5,4,4.5,2.0,1970.0,8,0,440.0
5,105.0,4,4.0,8.0,2014.0,12,0,1350.0
4,82.78,3,3.0,3.0,1973.0,11,0,496.68
2,49.12,2,2.0,3.0,1979.0,4,1,285.0
4,84.5,4,4.0,1.0,1920.0,4,1,589.0
2,46.39,2,2.0,5.0,1998.0,4,1,417.51
3,63.6,3,3.0,1.0,1938.0,8,0,572.4
2,57.0,2,2.0,5.0,1996.0,4,1,340.0
4,86.0,3,3.0,1.0,1925.0,4,0,430.0
4,90.0,3,3.0,1.0,1905.0,4,0,360.0
6,143.0,5,5.0,1.0,1900.0,1,0,1030.0
1,39.78,2,2.5,1.0,1947.0,8,1,219.0
3,70.95,3,3.0,3.0,1972.0,8,1,417.9
3,63.0,3,3.0,2.0,1956.0,9,1,470.0
5,112.16,4,4.0,1.0,1900.0,4,1,1010.0
1,35.0,2,2.0,2.0,1958.0,7,0,320.0
1,25.0,1,1.0,1.0,1900.0,4,1,239.0
6,127.0,4,4.0,9.0,2018.0,1,0,1000.0
3,75.51,2,2.0,9.0,2016.0,13,1,838.16
3,78.0,3,3.0,9.0,2017.0,7,0,703.0
2,58.07,2,2.0,1.0,1910.0,4,1,290.0
4,89.18,3,3.0,5.0,1996.0,10,0,624.0
2,50.14,2,2.0,2.0,1951.0,4,1,439.0
7,156.0,4,4.0,2.0,1959.0,8,1,2080.0
3,63.5,2,2.0,1.0,1920.0,4,1,349.0
3,61.01,2,2.0,9.0,2018.0,4,1,671.0
2,41.0,1,1.0,9.0,2017.0,10,0,450.0
4,90.0,4,4.0,5.0,1994.0,13,0,870.0
2,45.0,2,2.0,1.0,1950.0,13,1,1000.0
3,61.78,3,3.5,2.0,1958.0,8,1,408.0
6,130.0,4,4.0,9.0,2019.0,14,0,1880.0
3,76.84,3,3.5,4.0,1987.0,8,0,511.22
3,80.0,3,3.0,4.0,1982.0,8,0,400.0
2,49.25,2,2.0,5.0,1996.0,1,1,270.88
3,61.5,2,2.0,1.0,1930.0,4,0,252.15
1,28.0,1,1.0,1.0,1900.0,8,0,215.0
2,46.0,2,2.0,1.0,1900.0,4,1,230.0
3,73.0,2,2.0,9.0,2019.0,7,0,657.0
2,52.0,2,2.0,3.0,1976.0,8,0,475.0
2,53.78,2,2.0,2.0,1953.0,14,1,491.01
5,107.0,3,3.0,5.0,2000.0,12,0,1000.0
2,43.0,1,1.0,2.0,1965.0,12,0,380.0
2,55.76,2,2.0,1.0,1949.0,8,0,399.0
3,71.0,3,3.0,4.0,1985.0,13,0,650.0
3,63.0,2,2.0,4.0,1983.0,15,1,426.32
1,32.0,1,1.0,8.0,2015.0,13,0,865.0
4,100.29,3,3.0,9.0,2016.0,15,1,1700.0
3,65.48,2,2.0,5.0,1992.0,8,0,290.0
3,74.07,2,2.0,1.0,1920.0,8,1,370.0
3,80.17,3,3.0,3.0,1976.0,8,1,430.0
3,68.0,3,3.0,5.0,1996.0,8,0,430.0
4,86.42,3,3.0,9.0,2018.0,4,1,993.83
4,84.14,4,4.5,4.0,1984.0,8,0,420.74
4,83.0,3,3.0,9.0,2019.0,4,1,635.0
3,61.66,2,2.0,1.0,1929.0,4,0,370.0
3,66.24,3,3.0,2.0,1958.0,13,0,662.0
2,56.0,3,3.0,2.0,1955.0,7,0,308.0
2,43.7,2,2.0,1.0,1941.0,9,1,370.0
1,33.0,1,1.0,2.0,1952.0,8,1,249.0
2,47.5,2,2.0,1.0,1900.0,1,0,249.0
